,Magnitude,,,,,,Time,,,,,
subject,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6
sj_87011516152,477.5928999999999,0.0,929.6923000000003,142.22889999999998,830.0003999999997,2404.7476999999985,26.99097990989685,0.0,53.09867858886719,6.297826766967773,53.03460359573364,119.6412444114685
sj_87011516152,477.5928999999999,0,0,0,0,0,26.66109800338745,0,0,0,0,0
sj_87011516152,477.5928999999999,0,0,0,0,0,28.23290228843689,0,0,0,0,0
sj_87011516152,477.5928999999999,0.0,929.6923000000003,142.22889999999998,830.0003999999997,2404.7476999999985,24.160265922546387,0.0,46.07227444648743,5.2223801612854,46.355754137039185,107.92002081871033
sj_87011516152,477.5928999999999,0.0,929.6923000000003,142.22889999999998,830.0003999999997,2404.7476999999985,27.159541845321655,0.0,51.96940898895264,5.39785623550415,52.18452215194702,103.67164015769958
