,Magnitude,,,,,,Time,,,,,
subject,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6
sj_072_6A,33.1408,67.50059999999999,5.7967,1721.8518999999997,1553.6352000000002,97.44579999999999,0.6805956363677979,1.307755708694458,0.6346404552459717,89.88034725189209,73.59644770622253,6.01622462272644
sj_049_1A,23013.33830000003,148027.22749999978,62156.891900000075,102268.75039999966,103737.86640000023,103737.86640000023,733.7051033973694,5815.028548240662,2382.0058703422546,4023.828148841858,4023.938536643982,3747.993975877762
sj_071_5A,0.0,6.8514,34.32,29.1598,0.0,256.0801,0.0,0.298231840133667,0.5384981632232666,2.688080072402954,0.0,5.575597286224365
sj_076_4A,8.0808,0.0,0.0,0.0,0.0,0.0,0.6866157054901123,0.0,0.0,0.0,0.0,0.0
sj_065_5A,629.7062999999999,0.0,0.0,0.0,32.6393,208.98960000000002,13.388335704803467,0.0,0.0,0.0,0.7436573505401611,5.636125802993774
sj_060_6A,4247.4604,2017.3836000000006,226.3731,17.0151,1606.1587000000004,608.6221,180.52136898040771,86.51354908943176,13.054758310317993,2.2481679916381836,55.138736963272095,50.36553740501404
sj_054_6A,8836.411299999989,510.8587,14246.8386,1689.4515,3965.9920000000016,10967.141600000004,342.25934743881226,11.987626552581787,575.6881535053253,111.78568005561829,139.6489143371582,392.5117254257202
sj_083_5A,2115.4646000000007,3250.7701000000006,711.6119,6018.393200000001,283.84999999999997,8311.173099999995,44.13291811943054,73.31740856170654,18.18746328353882,162.7562940120697,6.142467260360718,366.83544516563416
sj_057_3A,16.9404,0.0,0.0,112.5911,514.1106000000001,265.6622,0.9037256240844727,0.0,0.0,5.329132080078125,18.098562955856323,9.428977966308594
sj_063_3A,0.0,9.1905,0.0,4.17,189.7961,67.515,0.0,0.371396541595459,0.0,0.750511884689331,4.707247018814087,1.3282597064971924
sj_074_2A,2281.6223999999997,0.0,57.116499999999995,0.0,11.523299999999999,5.6727,86.1758291721344,0.0,9.91937518119812,0.0,0.795900821685791,1.4012455940246582
sj_044_2A,1215.5868000000003,1050.1895,5559.654399999996,545.1299999999999,573.5117999999999,3001.6054999999988,39.292216300964355,56.83383345603943,202.09333300590515,25.76082944869995,10.999202728271484,83.54029059410095
sj_061_1A,86.1357,126.70519999999999,342.3943,596.3813000000001,555.5523999999999,596.3897,2.0362436771392822,2.3521482944488525,7.921278476715088,14.592617750167847,14.127552509307861,14.427244663238525
sj_081_3A,4518.468200000004,1055.8128,3182.4858999999988,3152.2320999999993,1869.3897000000004,4061.8994999999986,224.46715831756592,104.30607199668884,143.13551783561707,249.81966614723206,128.0549168586731,293.92898082733154
sj_091_1A,2171.8780000000006,568.5673000000003,1133.5141999999996,1168.1110999999999,2087.2138000000004,238.97369999999998,111.57870292663574,23.03221821784973,31.970709562301636,23.63458275794983,146.29021286964417,27.086973190307617
sj_105_3A,7962.883399999999,6778.530499999996,13907.455499999987,30308.322199999955,5296.585600000002,22239.215999999964,277.302622795105,269.2224085330963,424.5384931564331,1172.372967004776,376.9000470638275,968.8818752765656
sj_088_4A,1610.6185999999993,428.79769999999996,5975.562299999995,320.9554,26.2056,928.2145000000002,42.993128299713135,9.080439805984497,201.4831304550171,12.31318712234497,0.545501708984375,19.08019185066223
sj_103_1A,1614.2143,2382.592199999999,1555.8499000000002,3246.8974,4565.221,83.5029,30.743002891540527,86.4425003528595,47.287166118621826,80.43378591537476,150.64957737922668,0.8562207221984863
sj_100_4A,657.6659999999999,764.9005,4954.746900000002,748.9576000000001,13202.724600000005,2297.5395000000003,9.641587734222412,23.776650428771973,174.16313290596008,18.165022134780884,304.1907846927643,82.66577124595642
sj_099_3A,2599.5473,0.0,195.7969,0.0,1601.1584,0.0,51.422685384750366,0.0,2.708643674850464,0.0,28.079450130462646,0.0
sj_102_6A,13983.450700000001,3023.990100000002,18343.022400000005,6059.8085,15217.101099999987,18274.789900000018,606.6396236419678,133.1682801246643,612.8279566764832,258.9704394340515,437.452107667923,654.2348861694336
sj_095_5A,1555.0917,759.0933999999997,193.86,861.1581999999995,958.5412,53.2949,30.284494161605835,35.48881411552429,3.2714903354644775,17.98728108406067,18.26038956642151,0.684887170791626
sj_096_6A,5880.5187000000005,3243.760999999999,16589.131699999984,0.0,0.0,1.92,174.52627420425415,130.95027208328247,657.8368544578552,0.0,0.0,0.6985068321228027
sj_101_5A,0.0,0.0,0.0,1061.3362000000002,219.7317,172.9097,0.0,0.0,0.0,40.49614071846008,23.197025060653687,27.695059776306152
sj_106_4A,319.9057000000001,14.4288,0.0,114.80170000000001,40.8716,58.4856,27.23991870880127,0.4424750804901123,0.0,1.28936767578125,0.7694661617279053,0.8357763290405273
sj_094_4A,2364.277999999998,1.8562,36.76749999999999,1142.6339000000003,2.016,2.34,63.682496547698975,0.8087456226348877,8.59212875366211,69.92265582084656,3.966420888900757,2.588629722595215
sj_097_1A,242.1067,120.3253,1036.4463999999998,281.60760000000005,2419.6335000000004,53.3409,6.834298372268677,1.9352138042449951,17.31055974960327,8.653521537780762,91.15776419639587,0.5024969577789307
sj_092_2A,11248.460100000004,149.7814,3515.511200000004,0.0,3729.0029999999974,1033.5348,564.8477077484131,7.673323154449463,98.43817353248596,0.0,149.62518215179443,80.62291145324707
sj_089_5A,13.7259,0.0,139.7386,89.63479999999998,201.50460000000004,201.6814,0.7212460041046143,0.0,2.766907215118408,5.9497058391571045,18.139302730560303,7.66301155090332
sj_086_2A,22906.27419999999,165.9122,2998.5685000000003,1879.9279999999997,0.0,17256.412900000007,847.3861515522003,6.510823965072632,100.88908672332764,64.33749198913574,0.0,716.8835997581482
sj_168_6A,2769.1222000000016,1370.9339999999997,2403.0324,0.0,2914.7417000000005,6863.0556,41.999638080596924,33.802539110183716,70.35040855407715,0.0,109.57401990890503,228.26623916625977
sj_157_1A,1993.7799999999995,3311.2957,330.1043,1550.2844999999998,199.3553,4080.810900000001,80.74188232421875,85.85569262504578,9.057879447937012,57.59328603744507,9.909778833389282,164.32294249534607
sj_163_1A,1229.0027999999995,0.0,3374.3136000000018,209.90879999999999,3223.4614,245.49550000000002,12.859106063842773,0.0,33.92687439918518,3.417789936065674,104.19687628746033,2.532362937927246
sj_171_3A,705.0308999999999,2899.945099999999,302.74519999999995,1747.0932999999989,964.6459000000002,3172.9632999999994,9.03293490409851,91.58298373222351,11.357009410858154,82.41266012191772,23.548781871795654,98.70520234107971
sj_165_3A,1018.6839000000002,0.0,0.0,0.0,0.0,0.0,27.499496936798096,0.0,0.0,0.0,0.0,0.0
sj_156_6A,2989.1126999999988,409.38059999999996,3010.0939,0.0,1685.2948000000001,1046.5132999999998,97.07140922546387,9.74893569946289,67.70363450050354,0.0,46.86981439590454,26.663541793823242
sj_169_1A,468.5225999999999,2751.362199999999,1674.2701999999995,406.68740000000014,8082.490799999997,672.7290999999999,41.69827699661255,246.6934621334076,102.6727557182312,35.44354438781738,393.331378698349,27.030616998672485
sj_173_5A,0.0,0.0,32.8692,803.4893999999996,41.8915,1412.5265,0.0,0.0,1.3162791728973389,67.66816973686218,2.566128969192505,33.966243267059326
sj_158_2A,11407.5489,6809.835200000003,2438.1668,2598.7468,51.6054,1373.5241999999994,332.5798511505127,229.2962670326233,51.59413814544678,73.19697737693787,1.2461543083190918,75.6492018699646
sj_172_4A,12882.091400000014,8152.984600000004,16815.00189999998,3743.0507,10189.369499999986,679.2221999999999,448.10163974761963,420.0270175933838,713.461697101593,143.7934935092926,497.609943151474,28.947651386260986
sj_159_3A,9259.010899999992,1534.2513000000004,1812.9243999999999,1856.5174000000004,10710.552600000015,2773.9821000000006,347.5971817970276,64.40910696983337,74.71400499343872,102.30961441993713,444.41482424736023,121.73053622245789
sj_161_5A,0.0,0.0,36.2817,0.0,0.0,344.85659999999996,0.0,0.0,1.3751089572906494,0.0,0.0,7.093489170074463
sj_170_2A,14742.177599999999,4939.5488000000005,13335.425500000007,15650.945599999992,9197.546099999987,23059.443699999996,455.59173822402954,160.08692979812622,431.76597356796265,758.8206827640533,328.50509881973267,966.1752879619598
sj_164_2A,953.8957,598.5853999999999,867.671,2391.4268,1076.6338000000003,1502.5126000000002,44.67025399208069,25.745868682861328,49.583762884140015,94.3753719329834,74.48151707649231,93.07131171226501
sj_152_2A,9699.135999999999,1376.5278,6903.089500000002,4280.676199999996,0.0,10433.3984,272.7651000022888,37.286460399627686,159.19849276542664,103.0997633934021,0.0,363.74953389167786
sj_146_2A,1584.9144999999994,0.0,394.56069999999977,0.0,0.0,531.2995,87.20129728317261,0.0,26.35401487350464,0.0,0.0,74.45785403251648
sj_149_5A,0.0,9785.399500000001,2836.0247999999997,2579.7527999999998,4317.741,15302.462600000008,0.0,296.96422815322876,97.60159254074097,42.54889488220215,110.30629277229309,527.408629655838
sj_141_3A,150.04770000000002,0.0,0.0,210.4255,575.1633,0.0,3.3596158027648926,0.0,0.0,3.4509599208831787,29.83340620994568,0.0
sj_139_1A,1311.6085,0.0,0.0,269.4078,2057.590100000001,142.7336,44.052958488464355,0.0,0.0,9.505391120910645,122.02534079551697,6.410539150238037
sj_143_5A,0.0,294.70120000000003,0.0,2258.197599999999,2410.118200000001,3609.3319999999985,0.0,38.486868143081665,0.0,99.46092963218689,85.55209636688232,155.45803308486938
sj_154_4A,883.7031999999997,106.9864,625.7089,142.67679999999996,9191.046300000004,0.0,81.94348216056824,7.983475923538208,18.373608589172363,11.797547340393066,436.50907278060913,0.0
sj_144_6A,10199.380800000014,36.033,6088.352,11413.712000000005,3767.2290000000007,16481.262599999995,426.25078558921814,1.275777816772461,290.01057147979736,531.0003757476807,104.06067967414856,792.9248213768005
sj_155_5A,958.84,1302.3757,2722.6772999999994,17956.724500000008,8161.550499999995,19866.82179999995,32.62695670127869,63.808441162109375,71.75490260124207,579.9577832221985,280.5285453796387,787.7198159694672
sj_151_1A,2733.1594999999998,0.0,619.4256999999997,553.1386,55.4349,173.22889999999998,79.65674996376038,0.0,21.520644426345825,23.255646228790283,1.306474208831787,3.286600112915039
sj_140_2A,3590.571999999999,22.7944,3672.7782999999995,4042.754499999998,2389.6137999999987,5770.324399999998,180.23687601089478,8.09440016746521,290.90002179145813,233.7397336959839,169.72455382347107,382.11071491241455
sj_148_4A,1571.6306000000006,153.79160000000002,343.2804999999999,993.4541000000002,23505.52040000001,6137.548799999998,88.57092261314392,6.16791844367981,19.67570185661316,28.202444314956665,641.9407725334167,165.388822555542
